Name,DataType,InitValue,Comment,Attribute,DeviceType,Address
COIL_SYS_START_CMD,BOOL,,设备启动命令,,coil,8010
COIL_SYS_STOP_CMD,BOOL,,设备停止命令,,coil,8020
COIL_SYS_RESET_CMD,BOOL,,设备复位命令,,coil,8030
COIL_SYS_HAND_CMD,BOOL,,设备手动模式命令,,coil,8040
COIL_SYS_AUTO_CMD,BOOL,,设备自动模式命令,,coil,8050
COIL_SYS_INIT_CMD,BOOL,,设备初始化模式命令,,coil,8060
COIL_UNILAB_SEND_MSG_SUCC_CMD,BOOL,,UNILAB发送配方完毕,,coil,8700
COIL_UNILAB_REC_MSG_SUCC_CMD,BOOL,,UNILAB接受测试数据完毕,,coil,8710
COIL_SYS_START_STATUS,BOOL,,设备启动中,,coil,8210
COIL_SYS_STOP_STATUS,BOOL,,设备停止中,,coil,8220
COIL_SYS_RESET_STATUS,BOOL,,设备复位中,,coil,8230
COIL_SYS_HAND_STATUS,BOOL,,设备手动模式,,coil,8240
COIL_SYS_AUTO_STATUS,BOOL,,设备自动模式,,coil,8250
COIL_SYS_INIT_STATUS,BOOL,,设备初始化完成,,coil,8260
COIL_REQUEST_REC_MSG_STATUS,BOOL,,设备请求接受配方,,coil,8510
COIL_REQUEST_SEND_MSG_STATUS,BOOL,,设备请求发送测试数据,,coil,8500
REG_MSG_ELECTROLYTE_USE_NUM,INT16,,单瓶电解液使用次数,,hold_register,11000
REG_MSG_ELECTROLYTE_NUM,INT16,,电解液使用瓶数,,hold_register,11002
REG_MSG_ELECTROLYTE_VOLUME,INT16,,电解液吸取量,,hold_register,11004
REG_MSG_ASSEMBLY_TYPE,INT16,,组装参数：极片堆叠方式,,hold_register,11006
REG_MSG_ASSEMBLY_PRESSURE,INT16,,电池组装压制力,,hold_register,11008
REG_DATA_ASSEMBLY_COIN_CELL_NUM,INT16,,当前完成组装电池数量,,hold_register,10000
REG_DATA_OPEN_CIRCUIT_VOLTAGE,FLOAT32,,当前电池电压数据,,hold_register,10002
REG_DATA_AXIS_X_POS,FLOAT32,,分液X轴当前位置,,hold_register,10004
REG_DATA_AXIS_Y_POS,FLOAT32,,分液Z轴当前位置,,hold_register,10006
REG_DATA_AXIS_Z_POS,FLOAT32,,分液Y轴当前位置,,hold_register,10008
REG_DATA_POLE_WEIGHT,FLOAT32,,当前电池正极片称重数据,,hold_register,10010
REG_DATA_ASSEMBLY_PER_TIME,FLOAT32,,当前单颗电池组装时间,,hold_register,10012
REG_DATA_ASSEMBLY_PRESSURE,INT16,,当前电池组装压制力,,hold_register,10014
REG_DATA_ELECTROLYTE_VOLUME,INT16,,当前电解液加注量,,hold_register,10016
REG_DATA_COIN_NUM,INT16,,当前电池物料数,,hold_register,10018
REG_DATA_ELECTROLYTE_CODE,STRING,,电解液二维码序列号,,hold_register,10020
REG_DATA_COIN_CELL_CODE,STRING,,电池二维码序列号,,hold_register,10030
REG_DATA_STACK_VISON_CODE,STRING,,物料堆叠复检图片编码,,hold_register,12004
REG_DATA_GLOVE_BOX_PRESSURE,FLOAT32,,手套箱压力,,hold_register,10050
REG_DATA_GLOVE_BOX_WATER_CONTENT,FLOAT32,,手套箱水含量,,hold_register,10052
REG_DATA_GLOVE_BOX_O2_CONTENT,FLOAT32,,手套箱氧含量,,hold_register,10054
UNILAB_SEND_ELECTROLYTE_BOTTLE_NUM,BOOL,,Unilab确认已发送电解液瓶数信号,,coil,8720
UNILAB_RECE_ELECTROLYTE_BOTTLE_NUM,BOOL,,Unilab可接受电解液瓶数,,coil,8520
REG_MSG_ELECTROLYTE_NUM_USED,INT16,,电解液组装电池平行样数,,hold_register,496
REG_DATA_ELECTROLYTE_USE_NUM,INT16,,当前已组装平行样数,,hold_register,10000
UNILAB_SEND_FINISHED_CMD,BOOL,,Unilab发送收到完成信号,,coil,8730
UNILAB_RECE_FINISHED_CMD,BOOL,,告知unilab结束信号,,coil,8530
